postcode,postcode_space,postcode area,Average_download_speed_Mbit_s,Maximum_download_speed_Mbit_s,Minimum_download_speed_Mbit_s,Average_upload_speed_Mbit_s,Maximum_upload_speed_Mbit_s,Minimum_upload_speed_Mbit_s,Average_data_usage_GB,All Premises,All Matched Premises,lsoa_area,county
PL101AA,PL10 1AA,PL,3.2846635654062037,4.394449154672439,1.33500106673234,1.5260563034950492,3.0301337002713233,0.3364722366212129,5.631211781821365,3.332204510175204,3.332204510175204,Cornwall 034A,Cornwall
PL101AB,PL10 1AB,PL,3.0155349008501706,3.1986731175506815,2.72785282839839,0.7884573603642703,0.8329091229351039,0.6931471805599453,4.127134385045092,2.3978952727983707,2.3978952727983707,Cornwall 034A,Cornwall
PL101AD,PL10 1AD,PL,3.481240089335692,4.366912996863833,2.2617630984737906,1.9740810260220096,3.044522437723423,0.7419373447293773,5.476463551931511,2.772588722239781,2.772588722239781,Cornwall 034A,Cornwall
PL101AE,PL10 1AE,PL,2.928523523860541,3.169685580677429,1.410986973710262,0.7419373447293773,0.7884573603642703,0.5877866649021191,5.0689042022202315,2.833213344056216,2.833213344056216,Cornwall 034A,Cornwall
PL101AF,PL10 1AF,PL,3.288401887516811,4.157319361383489,2.2082744135228043,1.4350845252893227,2.9496883350525844,0.1823215567939546,4.859812404361672,3.4965075614664802,3.4965075614664802,Cornwall 034A,Cornwall
PL101AH,PL10 1AH,PL,2.6100697927420065,3.054001181677967,2.0918640616783932,0.6931471805599453,0.8329091229351039,0.47000362924573563,3.58351893845611,2.0794415416798357,2.0794415416798357,Cornwall 034A,Cornwall
PL101AJ,PL10 1AJ,PL,3.0819099697950434,3.2188758248682006,3.0106208860477417,0.7884573603642703,0.8329091229351039,0.6931471805599453,3.4657359027997265,2.0794415416798357,2.0794415416798357,Cornwall 034A,Cornwall
PL101AL,PL10 1AL,PL,3.2386784521643803,3.629660094453965,2.9601050959108397,1.5260563034950492,2.2512917986064953,0.6931471805599453,3.6888794541139363,1.791759469228055,1.791759469228055,Cornwall 034A,Cornwall
PL101AN,PL10 1AN,PL,3.126760535960395,3.9259259105971376,2.72785282839839,1.3609765531356006,2.5726122302071057,0.6418538861723947,4.343805421853684,2.70805020110221,2.70805020110221,Cornwall 034A,Cornwall
PL101AP,PL10 1AP,PL,3.374168709274236,4.127134385045092,2.9652730660692823,1.6094379124341003,2.9652730660692823,0.7419373447293773,5.159055299214529,2.3978952727983707,2.3978952727983707,Cornwall 034A,Cornwall
PL101AU,PL10 1AU,PL,3.716008121502189,4.394449154672439,2.8273136219290276,2.151762203259462,2.9444389791664403,0.7419373447293773,6.0330862217988015,1.791759469228055,1.791759469228055,Cornwall 034A,Cornwall
PL101AW,PL10 1AW,PL,3.8691155044168695,4.394449154672439,2.72785282839839,2.4069451083182885,3.044522437723423,0.5877866649021191,5.293304824724492,3.1354942159291497,3.1354942159291497,Cornwall 034A,Cornwall
